Pais;Anio;PIB_per_capita_USD;Desempleo_pct;Esperanza_vida;Internet_pct;Clase_desarrollo
Ecuador;2018;6320;4.1;76.8;57.3;Medio
Ecuador;2019;6215;4.9;77.0;59.2;Medio
Ecuador;2020;5600;6.5;77.1;64.0;Medio
Ecuador;2021;6120;5.2;77.3;68.5;Medio
Ecuador;2022;6450;4.2;77.5;72.0;Medio
Colombia;2018;6680;9.7;77.1;64.1;Medio
Colombia;2019;6525;10.5;77.3;65.0;Medio
Colombia;2020;5330;15.4;77.1;69.8;Medio
Colombia;2021;6100;13.7;77.5;72.2;Medio
Colombia;2022;6640;11.2;77.8;74.8;Medio
Perú;2018;6940;3.9;76.5;56.0;Medio
Perú;2019;7020;3.8;76.7;59.9;Medio
Perú;2020;6120;7.4;72.4;65.3;Medio
Perú;2021;6670;5.9;73.5;68.7;Medio
Perú;2022;7120;4.8;74.1;71.5;Medio
Bolivia;2018;3540;4.3;71.2;44.3;Bajo
Bolivia;2019;3555;4.1;71.5;46.8;Bajo
Bolivia;2020;3130;5.6;69.8;53.0;Bajo
Bolivia;2021;3350;5.2;70.2;57.5;Bajo
Bolivia;2022;3600;4.9;70.7;60.2;Bajo
Chile;2018;15880;7.1;80.0;82.3;Alto
Chile;2019;14650;7.3;80.2;84.1;Alto
Chile;2020;13230;10.7;79.4;86.5;Alto
Chile;2021;15500;9.1;79.8;88.0;Alto
Chile;2022;16090;8.0;80.1;89.2;Alto
