problem,run,sa_value,sa_iterations,sa_time,ts_value,ts_iterations,ts_time
Sphere5,1,0.25374216885797723,985,0.004436969757080078,1.4248600327265092e-05,483,2.492074966430664
Sphere5,2,0.19174090621330322,907,0.008253335952758789,1.4929319900107725e-05,439,2.0913407802581787
Sphere5,3,0.061567142996795624,1418,0.018134355545043945,1.4057535694140793e-05,657,5.01547384262085
Sphere5,4,0.039045291646855204,1394,0.017711877822875977,4.9876461173972184e-06,478,3.2273616790771484
Sphere5,5,0.041843363852485126,1500,0.01212930679321289,3.0071925542716182e-05,347,2.1458353996276855
TSP5,1,15.758533720546938,260,0.006994009017944336,15.758533720546938,203,1.1358070373535156
TSP5,2,15.758533720546938,290,0.0028641223907470703,15.758533720546938,219,1.068021535873413
TSP5,3,15.758533720546938,240,0.0048370361328125,15.758533720546938,214,1.2280735969543457
TSP5,4,15.758533720546938,242,0.007396697998046875,15.758533720546938,220,1.472139596939087
TSP5,5,15.758533720546938,358,0.003815174102783203,15.758533720546938,203,1.199183464050293
