;;;;;;;;;;
;A;A1;B;C;C1;D;E;F;G;Total general
AZUAY; 99 ; -   ; 993 ; 460 ; -   ; 32 ; 315 ; 27 ; 30 ; 1.956 
Enero; 20 ; -   ; 133 ; 86 ; -   ; 10 ; 25 ; 3 ; 13 ; 290 
Duplicado o Reimpresión de Licencia; 6 ; -   ; 75 ; 22 ; -   ; 8 ; 21 ; 1 ; 1 ; 134 
Emisión de Licencia por Primera Vez; 1 ; -   ; 41 ; 63 ; -   ; -   ; 1 ; -   ; 12 ; 118 
Renovación de Licencia; 13 ; -   ; 17 ; 1 ; -   ; 2 ; 3 ; 2 ; -   ; 38 
Febrero; 20 ; -   ; 202 ; 185 ; -   ; 4 ; 35 ; 5 ; 11 ; 462 
Duplicado o Reimpresión de Licencia; 7 ; -   ; 83 ; 31 ; -   ; 3 ; 16 ; 3 ; 1 ; 144 
Emisión de Licencia por Primera Vez; 2 ; -   ; 72 ; 149 ; -   ; -   ; 10 ; -   ; 10 ; 243 
Renovación de Licencia; 11 ; -   ; 47 ; 5 ; -   ; 1 ; 9 ; 2 ; -   ; 75 
Marzo; 25 ; -   ; 239 ; 56 ; -   ; 8 ; 55 ; 6 ; 1 ; 390 
Duplicado o Reimpresión de Licencia; 5 ; -   ; 117 ; 34 ; -   ; 2 ; 34 ; -   ; -   ; 192 
Emisión de Licencia por Primera Vez; 5 ; -   ; 60 ; 19 ; -   ; -   ; 4 ; 1 ; 1 ; 90 
Renovación de Licencia; 15 ; -   ; 62 ; 3 ; -   ; 6 ; 17 ; 5 ; -   ; 108 
Abril; 17 ; -   ; 237 ; 48 ; -   ; 4 ; 144 ; 8 ; 4 ; 462 
Duplicado o Reimpresión de Licencia; 5 ; -   ; 153 ; 40 ; -   ; 2 ; 18 ; 2 ; -   ; 220 
Emisión de Licencia por Primera Vez; 3 ; -   ; 40 ; 6 ; -   ; -   ; 117 ; -   ; 2 ; 168 
Renovación de Licencia; 9 ; -   ; 44 ; 2 ; -   ; 2 ; 9 ; 6 ; 2 ; 74 
Mayo; 17 ; -   ; 182 ; 85 ; -   ; 6 ; 56 ; 5 ; 1 ; 352 
Duplicado o Reimpresión de Licencia; 6 ; -   ; 128 ; 39 ; -   ; 4 ; 36 ; 3 ; 1 ; 217 
Emisión de Licencia por Primera Vez; 3 ; -   ; 27 ; 40 ; -   ; -   ; 15 ; 1 ; -   ; 86 
Renovación de Licencia; 8 ; -   ; 27 ; 6 ; -   ; 2 ; 5 ; 1 ; -   ; 49 
BOLIVAR; 173 ; -   ; 1.317 ; 666 ; -   ; 175 ; 669 ; 2 ; 43 ; 3.045 
Enero; 15 ; -   ; 123 ; 76 ; -   ; 13 ; 51 ; -   ; 3 ; 281 
Duplicado o Reimpresión de Licencia; -   ; -   ; 10 ; 5 ; -   ; 2 ; 10 ; -   ; 1 ; 28 
Emisión de Licencia por Primera Vez; 2 ; -   ; 17 ; 24 ; -   ; -   ; 1 ; -   ; -   ; 44 
Renovación de Licencia; 13 ; -   ; 96 ; 47 ; -   ; 11 ; 40 ; -   ; 2 ; 209 
Febrero; 31 ; -   ; 205 ; 108 ; -   ; 37 ; 115 ; 1 ; 5 ; 502 
Duplicado o Reimpresión de Licencia; -   ; -   ; 14 ; 11 ; -   ; 1 ; 12 ; -   ; 1 ; 39 
Emisión de Licencia por Primera Vez; 12 ; -   ; 17 ; 20 ; -   ; -   ; 29 ; -   ; -   ; 78 
Renovación de Licencia; 19 ; -   ; 174 ; 77 ; -   ; 36 ; 74 ; 1 ; 4 ; 385 
Marzo; 67 ; -   ; 351 ; 192 ; -   ; 51 ; 187 ; -   ; 7 ; 855 
Duplicado o Reimpresión de Licencia; 2 ; -   ; 16 ; 18 ; -   ; 3 ; 7 ; -   ; -   ; 46 
Emisión de Licencia por Primera Vez; 33 ; -   ; 66 ; 55 ; -   ; -   ; 55 ; -   ; -   ; 209 
Renovación de Licencia; 32 ; -   ; 269 ; 119 ; -   ; 48 ; 125 ; -   ; 7 ; 600 
Abril; 20 ; -   ; 356 ; 161 ; -   ; 34 ; 162 ; 1 ; 7 ; 741 
Duplicado o Reimpresión de Licencia; -   ; -   ; 19 ; 11 ; -   ; 1 ; 14 ; -   ; -   ; 45 
Emisión de Licencia por Primera Vez; 3 ; -   ; 83 ; 31 ; -   ; -   ; 39 ; -   ; -   ; 156 
Renovación de Licencia; 17 ; -   ; 254 ; 119 ; -   ; 33 ; 109 ; 1 ; 7 ; 540 
Mayo; 40 ; -   ; 282 ; 129 ; -   ; 40 ; 154 ; -   ; 21 ; 666 
Duplicado o Reimpresión de Licencia; 2 ; -   ; 15 ; 8 ; -   ; 1 ; 14 ; -   ; -   ; 40 
Emisión de Licencia por Primera Vez; 10 ; -   ; 98 ; 12 ; -   ; -   ; 32 ; -   ; 19 ; 171 
Renovación de Licencia; 28 ; -   ; 169 ; 109 ; -   ; 39 ; 108 ; -   ; 2 ; 455 
CAÑAR; 137 ; 2 ; 1.756 ; 340 ; -   ; 115 ; 468 ; 6 ; 14 ; 2.838 
Enero; 13 ; -   ; 195 ; 42 ; -   ; 13 ; 67 ; -   ; 1 ; 331 
Duplicado o Reimpresión de Licencia; 1 ; -   ; 20 ; 11 ; -   ; 3 ; 9 ; -   ; -   ; 44 
Emisión de Licencia por Primera Vez; 5 ; -   ; 46 ; 3 ; -   ; 2 ; 4 ; -   ; -   ; 60 
Renovación de Licencia; 7 ; -   ; 129 ; 28 ; -   ; 8 ; 54 ; -   ; 1 ; 227 
Febrero; 24 ; -   ; 301 ; 51 ; -   ; 14 ; 80 ; 2 ; 5 ; 477 
Duplicado o Reimpresión de Licencia; 3 ; -   ; 25 ; 7 ; -   ; -   ; 8 ; 1 ; 1 ; 45 
Emisión de Licencia por Primera Vez; 5 ; -   ; 69 ; 2 ; -   ; 2 ; 7 ; -   ; -   ; 85 
