problem,run,sa_value,sa_iterations,sa_time,ts_value,ts_iterations,ts_time
Sphere5,1,0.08115116936677849,1079,0.007612705230712891,2.1376990432762497e-05,284,0.9777679443359375
Sphere5,2,0.2316722184742184,1026,0.005768299102783203,2.3605019133880368e-05,329,0.973602294921875
Sphere5,3,0.5727729310662796,919,0.004817008972167969,2.0003333414748286e-05,290,0.6815316677093506
Sphere5,4,20.282108152639044,382,0.0011043548583984375,1.026187806922984e-05,370,0.9900329113006592
Sphere5,5,33.32966598893585,335,0.0030651092529296875,4.513066961375338e-06,294,0.914926290512085
TSP5,1,15.758533720546938,368,0.001928091049194336,15.758533720546938,203,0.4897184371948242
TSP5,2,15.758533720546938,215,0.0019168853759765625,15.758533720546938,207,0.4833993911743164
TSP5,3,15.758533720546938,240,0.0015082359313964844,15.758533720546938,208,0.45323920249938965
TSP5,4,15.758533720546938,310,0.0015630722045898438,15.758533720546938,220,0.6259663105010986
TSP5,5,15.758533720546938,245,0.0014050006866455078,15.758533720546938,213,0.5393152236938477
