algorithm,run,cost,time_s,iterations
SA,1,253.27750067749184,0.01562643051147461,4594
SA,2,253.27750067749184,0.01562356948852539,4594
SA,3,253.27750067749184,0.03125143051147461,4594
SA,4,253.27750067749184,0.0156252384185791,4594
SA,5,253.27750067749184,0.031248092651367188,4594
Tabu,1,253.27750067749184,0.17187833786010742,2000
Tabu,2,253.27750067749182,0.1875166893005371,2000
Tabu,3,253.27750067749184,0.18748092651367188,2000
Tabu,4,253.27750067749184,0.23872995376586914,2000
Tabu,5,253.27750067749184,0.18750929832458496,2000
